"NB_MUNICIPIO","SG_UNIDADE_FEDERACAO"
"Sinimbu - RS","RS"
"Sobradinho - RS","RS"
"Soledade - RS","RS"
"Tabaí - RS","RS"
"Tapejara - RS","RS"
"Tapera - RS","RS"
"Tapes - RS","RS"
"Taquara - RS","RS"
"Taquari - RS","RS"
"Taquaruçu do Sul - RS","RS"
"Tavares - RS","RS"
"Tenente Portela - RS","RS"
"Terra de Areia - RS","RS"
"Teutônia - RS","RS"
"Tio Hugo - RS","RS"
"Tiradentes do Sul - RS","RS"
"Toropi - RS","RS"
"Torres - RS","RS"
"Tramandaí - RS","RS"
"Travesseiro - RS","RS"
"Três Arroios - RS","RS"
"Três Cachoeiras - RS","RS"
"Três Coroas - RS","RS"
"Três de Maio - RS","RS"
"Três Forquilhas - RS","RS"
"Três Palmeiras - RS","RS"
"Três Passos - RS","RS"
"Trindade do Sul - RS","RS"
"Triunfo - RS","RS"
"Tucunduva - RS","RS"
"Tunas - RS","RS"
"Tupanci do Sul - RS","RS"
"Tupanciretã - RS","RS"
"Tupandi - RS","RS"
"Tuparendi - RS","RS"
"Turuçu - RS","RS"
"Ubiretama - RS","RS"
"União da Serra - RS","RS"
"Unistalda - RS","RS"
"Uruguaiana - RS","RS"
"Vacaria - RS","RS"
"Vale do Sol - RS","RS"
"Vale Real - RS","RS"
"Vale Verde - RS","RS"
"Vanini - RS","RS"
"Venâncio Aires - RS","RS"
"Vera Cruz - RS","RS"
"Veranópolis - RS","RS"
"Vespasiano Correa - RS","RS"
"Viadutos - RS","RS"
"Viamão - RS","RS"
"Vicente Dutra - RS","RS"
"Victor Graeff - RS","RS"
"Vila Flores - RS","RS"
"Vila Lângaro - RS","RS"
"Vila Maria - RS","RS"
"Vila Nova do Sul - RS","RS"
"Vista Alegre - RS","RS"
"Vista Alegre do Prata - RS","RS"
"Vista Gaúcha - RS","RS"
"Vitória das Missões - RS","RS"
"Westfália - RS","RS"
"Xangri-lá - RS","RS"
"Abdon Batista - SC","SC"
"Abelardo Luz - SC","SC"
"Agrolândia - SC","SC"
"Agronômica - SC","SC"
"Água Doce - SC","SC"
"Águas de Chapecó - SC","SC"
"Águas Frias - SC","SC"
"Águas Mornas - SC","SC"
"Alfredo Wagner - SC","SC"
"Alto Bela Vista - SC","SC"
"Anchieta - SC","SC"
"Angelina - SC","SC"
"Anita Garibaldi - SC","SC"
"Anitápolis - SC","SC"
"Antônio Carlos - SC","SC"
"Apiúna - SC","SC"
"Arabutã - SC","SC"
"Araquari - SC","SC"
"Araranguá - SC","SC"
"Armazém - SC","SC"
"Arroio Trinta - SC","SC"
"Arvoredo - SC","SC"
"Ascurra - SC","SC"
"Atalanta - SC","SC"
"Aurora - SC","SC"
"Balneário Arroio do Silva - SC","SC"
"Balneário Barra do Sul - SC","SC"
"Balneário Camboriú - SC","SC"
"Balneário de Piçarras - SC","SC"
"Balneário Gaivota - SC","SC"
"Balneário Rincão - SC","SC"
"Bandeirante - SC","SC"
"Barra Bonita - SC","SC"
"Barra Velha - SC","SC"
"Bela Vista do Toldo - SC","SC"
"Belmonte - SC","SC"
"Benedito Novo - SC","SC"
"Biguaçu - SC","SC"
"Blumenau - SC","SC"
"Bocaina do Sul - SC","SC"
"Bom Jardim da Serra - SC","SC"
"Bom Jesus - SC","SC"
"Bom Jesus do Oeste - SC","SC"
"Bom Retiro - SC","SC"
"Bombinhas - SC","SC"
"Botuverá - SC","SC"
"Braço do Norte - SC","SC"
"Braço do Trombudo - SC","SC"
"Brunópolis - SC","SC"
"Brusque - SC","SC"
"Caçador - SC","SC"
"Caibi - SC","SC"
"Calmon - SC","SC"
"Camboriú - SC","SC"
"Campo Alegre - SC","SC"
"Campo Belo do Sul - SC","SC"
"Campo Erê - SC","SC"
"Campos Novos - SC","SC"
"Canelinha - SC","SC"
"Canoinhas - SC","SC"
"Capão Alto - SC","SC"
"Capinzal - SC","SC"
"Capivari de Baixo - SC","SC"
"Catanduvas - SC","SC"
"Caxambu do Sul - SC","SC"
"Celso Ramos - SC","SC"
"Cerro Negro - SC","SC"
"Chapadão do Lageado - SC","SC"
"Chapecó - SC","SC"
"Cocal do Sul - SC","SC"
"Concórdia - SC","SC"
"Cordilheira Alta - SC","SC"
"Coronel Freitas - SC","SC"
"Coronel Martins - SC","SC"
"Correia Pinto - SC","SC"
"Corupá - SC","SC"
"Criciúma - SC","SC"
"Cunha Porã - SC","SC"
"Cunhataí - SC","SC"
"Curitibanos - SC","SC"
"Descanso - SC","SC"
"Dionísio Cerqueira - SC","SC"
"Dona Emma - SC","SC"
"Doutor Pedrinho - SC","SC"
"Entre Rios - SC","SC"
"Ermo - SC","SC"
"Erval Velho - SC","SC"
"Faxinal dos Guedes - SC","SC"
"Flor do Sertão - SC","SC"
"Florianópolis - SC","SC"
"Formosa do Sul - SC","SC"
"Forquilhinha - SC","SC"
"Fraiburgo - SC","SC"
"Frei Rogério - SC","SC"
"Galvão - SC","SC"
"Garopaba - SC","SC"
"Garuva - SC","SC"
"Gaspar - SC","SC"
"Governador Celso Ramos - SC","SC"
"Grão Pará - SC","SC"
"Gravatal - SC","SC"
"Guabiruba - SC","SC"
"Guaraciaba - SC","SC"
"Guaramirim - SC","SC"
"Guarujá do Sul - SC","SC"
"Guatambú - SC","SC"
"Herval d'Oeste - SC","SC"
"Ibiam - SC","SC"
"Ibicaré - SC","SC"
"Ibirama - SC","SC"
"Içara - SC","SC"
"Ilhota - SC","SC"
"Imaruí - SC","SC"
"Imbituba - SC","SC"
"Imbuia - SC","SC"
"Indaial - SC","SC"
"Iomerê - SC","SC"
"Ipira - SC","SC"
"Iporã do Oeste - SC","SC"
"Ipuaçu - SC","SC"
"Ipumirim - SC","SC"
"Iraceminha - SC","SC"
"Irani - SC","SC"
"Irati - SC","SC"
"Irineópolis - SC","SC"
"Itá - SC","SC"
"Itaiópolis - SC","SC"
"Itajaí - SC","SC"
"Itapema - SC","SC"
"Itapiranga - SC","SC"
"Itapoá - SC","SC"
"Ituporanga - SC","SC"
"Jaborá - SC","SC"
"Jacinto Machado - SC","SC"
"Jaguaruna - SC","SC"
"Jaraguá do Sul - SC","SC"
"Jardinópolis - SC","SC"
"Joaçaba - SC","SC"
"Joinville - SC","SC"
"José Boiteux - SC","SC"
"Jupiá - SC","SC"
"Lacerdópolis - SC","SC"
"Lages - SC","SC"
"Laguna - SC","SC"
"Lajeado Grande - SC","SC"
"Laurentino - SC","SC"
"Lauro Muller - SC","SC"
"Lebon Régis - SC","SC"
"Leoberto Leal - SC","SC"
"Lindóia do Sul - SC","SC"
"Lontras - SC","SC"
"Luiz Alves - SC","SC"
"Luzerna - SC","SC"
"Macieira - SC","SC"
"Mafra - SC","SC"
"Major Gercino - SC","SC"
"Major Vieira - SC","SC"
"Maracajá - SC","SC"
"Maravilha - SC","SC"
"Marema - SC","SC"
"Massaranduba - SC","SC"
"Matos Costa - SC","SC"
"Meleiro - SC","SC"
"Mirim Doce - SC","SC"
"Modelo - SC","SC"
"Mondaí - SC","SC"
"Monte Carlo - SC","SC"
"Monte Castelo - SC","SC"
"Morro da Fumaça - SC","SC"
"Morro Grande - SC","SC"
"Navegantes - SC","SC"
"Nova Erechim - SC","SC"
"Nova Itaberaba - SC","SC"
"Nova Trento - SC","SC"
"Nova Veneza - SC","SC"
"Novo Horizonte - SC","SC"
"Orleans - SC","SC"
"Otacílio Costa - SC","SC"
"Ouro - SC","SC"
"Ouro Verde - SC","SC"
"Paial - SC","SC"
"Painel - SC","SC"
"Palhoça - SC","SC"
"Palma Sola - SC","SC"
"Palmeira - SC","SC"
"Palmitos - SC","SC"
"Papanduva - SC","SC"
"Paraíso - SC","SC"
"Passo de Torres - SC","SC"
"Passos Maia - SC","SC"
"Paulo Lopes - SC","SC"
"Pedras Grandes - SC","SC"
"Penha - SC","SC"
"Peritiba - SC","SC"
"Pescaria Brava - SC","SC"
"Petrolândia - SC","SC"
"Pinhalzinho - SC","SC"
"Pinheiro Preto - SC","SC"
"Piratuba - SC","SC"
"Planalto Alegre - SC","SC"
"Pomerode - SC","SC"
"Ponte Alta - SC","SC"
"Ponte Alta do Norte - SC","SC"
"Ponte Serrada - SC","SC"
"Porto Belo - SC","SC"
"Porto União - SC","SC"
"Pouso Redondo - SC","SC"
"Praia Grande - SC","SC"
"Presidente Castelo Branco - SC","SC"
"Presidente Getúlio - SC","SC"
"Presidente Nereu - SC","SC"
"Princesa - SC","SC"
"Quilombo - SC","SC"
"Rancho Queimado - SC","SC"
"Rio das Antas - SC","SC"
"Rio do Campo - SC","SC"
"Rio do Oeste - SC","SC"
"Rio do Sul - SC","SC"
"Rio dos Cedros - SC","SC"
"Rio Fortuna - SC","SC"
"Rio Negrinho - SC","SC"
"Rio Rufino - SC","SC"
"Riqueza - SC","SC"
"Rodeio - SC","SC"
"Romelândia - SC","SC"
"Salete - SC","SC"
"Saltinho - SC","SC"
"Salto Veloso - SC","SC"
"Sangão - SC","SC"
"Santa Cecília - SC","SC"
"Santa Helena - SC","SC"
"Santa Rosa de Lima - SC","SC"
"Santa Rosa do Sul - SC","SC"
"Santa Terezinha - SC","SC"
"Santa Terezinha do Progresso - SC","SC"
"Santiago do Sul - SC","SC"
"Santo Amaro da Imperatriz - SC","SC"
"São Bento do Sul - SC","SC"
"São Bernardino - SC","SC"
"São Bonifácio - SC","SC"
"São Carlos - SC","SC"
"São Cristovão do Sul - SC","SC"
"São Domingos - SC","SC"
"São Francisco do Sul - SC","SC"
"São João Batista - SC","SC"
"São João do Itaperiú - SC","SC"
"São João do Oeste - SC","SC"
"São João do Sul - SC","SC"
"São Joaquim - SC","SC"
"São José - SC","SC"
"São José do Cedro - SC","SC"
"São José do Cerrito - SC","SC"
"São Lourenço do Oeste - SC","SC"
"São Ludgero - SC","SC"
"São Martinho - SC","SC"
"São Miguel da Boa Vista - SC","SC"
"São Miguel do Oeste - SC","SC"
"São Pedro de Alcântara - SC","SC"
"Saudades - SC","SC"
"Schroeder - SC","SC"
"Seara - SC","SC"
"Serra Alta - SC","SC"
"Siderópolis - SC","SC"
"Sombrio - SC","SC"
"Sul Brasil - SC","SC"
"Taió - SC","SC"
"Tangará - SC","SC"
"Tigrinhos - SC","SC"
"Tijucas - SC","SC"
"Timbé do Sul - SC","SC"
"Timbó - SC","SC"
"Timbó Grande - SC","SC"
"Três Barras - SC","SC"
"Treviso - SC","SC"
"Treze de Maio - SC","SC"
"Treze Tílias - SC","SC"
"Trombudo Central - SC","SC"
"Tubarão - SC","SC"
"Tunápolis - SC","SC"
"Turvo - SC","SC"
"União do Oeste - SC","SC"
"Urubici - SC","SC"
"Urupema - SC","SC"
"Urussanga - SC","SC"
"Vargeão - SC","SC"
"Vargem - SC","SC"
"Vargem Bonita - SC","SC"
"Vidal Ramos - SC","SC"
"Videira - SC","SC"
"Vitor Meireles - SC","SC"
"Witmarsum - SC","SC"
"Xanxerê - SC","SC"
"Xavantina - SC","SC"
"Xaxim - SC","SC"
"Zortéa - SC","SC"
"Amparo de São Francisco - SE","SE"
"Aquidabã - SE","SE"
"Aracaju - SE","SE"
"Arauá - SE","SE"
"Areia Branca - SE","SE"
"Barra dos Coqueiros - SE","SE"
"Boquim - SE","SE"
"Brejo Grande - SE","SE"
"Campo do Brito - SE","SE"
"Canhoba - SE","SE"
"Canindé de São Francisco - SE","SE"
"Capela - SE","SE"
"Carira - SE","SE"
"Carmópolis - SE","SE"
"Cedro de São João - SE","SE"
"Cristinápolis - SE","SE"
"Cumbe - SE","SE"
"Divina Pastora - SE","SE"
"Estância - SE","SE"
"Feira Nova - SE","SE"
"Frei Paulo - SE","SE"
"Gararu - SE","SE"
"General Maynard - SE","SE"
"Gracho Cardoso - SE","SE"
"Ilha das Flores - SE","SE"
"Indiaroba - SE","SE"
"Itabaiana - SE","SE"
"Itabaianinha - SE","SE"
"Itabi - SE","SE"
"Itaporanga d'Ajuda - SE","SE"
"Japaratuba - SE","SE"
"Japoatã - SE","SE"
"Lagarto - SE","SE"
"Laranjeiras - SE","SE"
"Macambira - SE","SE"
"Malhada dos Bois - SE","SE"
"Malhador - SE","SE"
"Maruim - SE","SE"
"Moita Bonita - SE","SE"
"Monte Alegre de Sergipe - SE","SE"
"Muribeca - SE","SE"
"Neópolis - SE","SE"
"Nossa Senhora Aparecida - SE","SE"
"Nossa Senhora da Glória - SE","SE"
"Nossa Senhora das Dores - SE","SE"
"Nossa Senhora de Lourdes - SE","SE"
"Nossa Senhora do Socorro - SE","SE"
"Pacatuba - SE","SE"
"Pedra Mole - SE","SE"
"Pedrinhas - SE","SE"
"Pinhão - SE","SE"
"Pirambu - SE","SE"
"Poço Redondo - SE","SE"
"Poço Verde - SE","SE"
"Porto da Folha - SE","SE"
"Propriá - SE","SE"
"Riachão do Dantas - SE","SE"
"Riachuelo - SE","SE"
"Ribeirópolis - SE","SE"
"Rosário do Catete - SE","SE"
"Salgado - SE","SE"
"Santa Luzia do Itanhy - SE","SE"
"Santa Rosa de Lima - SE","SE"
"Santana do São Francisco - SE","SE"
"Santo Amaro das Brotas - SE","SE"
"São Cristóvão - SE","SE"
"São Domingos - SE","SE"
"São Francisco - SE","SE"
"São Miguel do Aleixo - SE","SE"
"Simão Dias - SE","SE"
"Siriri - SE","SE"
"Telha - SE","SE"
"Tobias Barreto - SE","SE"
"Tomar do Geru - SE","SE"
"Umbaúba - SE","SE"
"Sem local","SL"
"Adamantina - SP","SP"
"Adolfo - SP","SP"
"Aguaí - SP","SP"
"Águas da Prata - SP","SP"
"Águas de Lindóia - SP","SP"
"Águas de Santa Bárbara - SP","SP"
"Águas de São Pedro - SP","SP"
"Agudos - SP","SP"
"Alambari - SP","SP"
"Alfredo Marcondes - SP","SP"
"Altair - SP","SP"
"Altinópolis - SP","SP"
"Alto Alegre - SP","SP"
"Alumínio - SP","SP"
"Álvares Florence - SP","SP"
"Álvares Machado - SP","SP"
"Álvaro de Carvalho - SP","SP"
"Alvinlândia - SP","SP"
"Americana - SP","SP"
"Américo Brasiliense - SP","SP"
"Américo de Campos - SP","SP"
"Amparo - SP","SP"
"Analândia - SP","SP"
"Andradina - SP","SP"
"Angatuba - SP","SP"
"Anhembi - SP","SP"
"Anhumas - SP","SP"
"Aparecida - SP","SP"
"Aparecida d'Oeste - SP","SP"
"Apiaí - SP","SP"
"Araçariguama - SP","SP"
"Araçatuba - SP","SP"
"Araçoiaba da Serra - SP","SP"
"Aramina - SP","SP"
"Arandu - SP","SP"
"Arapeí - SP","SP"
"Araraquara - SP","SP"
"Araras - SP","SP"
"Arco-Íris - SP","SP"
"Arealva - SP","SP"
"Areias - SP","SP"
"Areiópolis - SP","SP"
"Ariranha - SP","SP"
"Artur Nogueira - SP","SP"
"Arujá - SP","SP"
"Aspásia - SP","SP"
"Assis - SP","SP"
"Atibaia - SP","SP"
"Auriflama - SP","SP"
"Avaí - SP","SP"
"Avanhandava - SP","SP"
"Avaré - SP","SP"
"Bady Bassitt - SP","SP"
"Balbinos - SP","SP"
"Bálsamo - SP","SP"
"Bananal - SP","SP"
"Barão de Antonina - SP","SP"
"Barbosa - SP","SP"
"Bariri - SP","SP"
"Barra Bonita - SP","SP"
"Barra do Chapéu - SP","SP"
"Barra do Turvo - SP","SP"
"Barretos - SP","SP"
"Barrinha - SP","SP"
"Barueri - SP","SP"
"Bastos - SP","SP"
"Batatais - SP","SP"
"Bauru - SP","SP"
"Bebedouro - SP","SP"
"Bento de Abreu - SP","SP"
"Bernardino de Campos - SP","SP"
"Bertioga - SP","SP"
"Bilac - SP","SP"
"Birigui - SP","SP"
"Biritiba-Mirim - SP","SP"
"Boa Esperança do Sul - SP","SP"
"Bocaina - SP","SP"
"Bofete - SP","SP"
"Boituva - SP","SP"
"Bom Jesus dos Perdões - SP","SP"
"Bom Sucesso de Itararé - SP","SP"
"Borá - SP","SP"
"Boracéia - SP","SP"
"Borborema - SP","SP"
"Borebi - SP","SP"
"Botucatu - SP","SP"
"Bragança Paulista - SP","SP"
"Braúna - SP","SP"
"Brejo Alegre - SP","SP"
"Brodowski - SP","SP"
"Brotas - SP","SP"
"Buri - SP","SP"
"Buritama - SP","SP"
"Buritizal - SP","SP"
"Cabrália Paulista - SP","SP"
"Cabreúva - SP","SP"
"Caçapava - SP","SP"
"Cachoeira Paulista - SP","SP"
"Caconde - SP","SP"
"Cafelândia - SP","SP"
"Caiabu - SP","SP"
"Caieiras - SP","SP"
"Caiuá - SP","SP"
"Cajamar - SP","SP"
"Cajati - SP","SP"
"Cajobi - SP","SP"
"Cajuru - SP","SP"
"Campina do Monte Alegre - SP","SP"
"Campinas - SP","SP"
"Campo Limpo Paulista - SP","SP"
"Campos do Jordão - SP","SP"
"Campos Novos Paulista - SP","SP"
"Cananéia - SP","SP"
"Canas - SP","SP"
"Cândido Mota - SP","SP"
"Cândido Rodrigues - SP","SP"
"Canitar - SP","SP"
"Capão Bonito - SP","SP"
"Capela do Alto - SP","SP"
"Capivari - SP","SP"
"Caraguatatuba - SP","SP"
"Carapicuíba - SP","SP"
"Cardoso - SP","SP"
"Casa Branca - SP","SP"
"Cássia dos Coqueiros - SP","SP"
"Castilho - SP","SP"
"Catanduva - SP","SP"
"Catiguá - SP","SP"
"Cedral - SP","SP"
"Cerqueira César - SP","SP"
"Cerquilho - SP","SP"
"Cesário Lange - SP","SP"
"Charqueada - SP","SP"
"Chavantes - SP","SP"
"Clementina - SP","SP"
"Colina - SP","SP"
"Colômbia - SP","SP"
"Conchal - SP","SP"
"Conchas - SP","SP"
"Cordeirópolis - SP","SP"
"Coroados - SP","SP"
"Coronel Macedo - SP","SP"
"Corumbataí - SP","SP"
"Cosmópolis - SP","SP"
"Cosmorama - SP","SP"
"Cotia - SP","SP"
"Cravinhos - SP","SP"
"Cristais Paulista - SP","SP"
"Cruzália - SP","SP"
"Cruzeiro - SP","SP"
"Cubatão - SP","SP"
"Cunha - SP","SP"
"Descalvado - SP","SP"
"Diadema - SP","SP"
"Dirce Reis - SP","SP"
"Divinolândia - SP","SP"
"Dobrada - SP","SP"
"Dois Córregos - SP","SP"
"Dolcinópolis - SP","SP"
"Dourado - SP","SP"
"Dracena - SP","SP"
"Duartina - SP","SP"
"Dumont - SP","SP"
"Echaporã - SP","SP"
"Eldorado - SP","SP"
"Elias Fausto - SP","SP"
"Elisiário - SP","SP"
"Embaúba - SP","SP"
"Embu - SP","SP"
"Embu-Guaçu - SP","SP"
"Emilianópolis - SP","SP"
"Engenheiro Coelho - SP","SP"
"Espírito Santo do Pinhal - SP","SP"
"Espírito Santo do Turvo - SP","SP"
"Estiva Gerbi - SP","SP"
"Estrela do Norte - SP","SP"
"Estrela d'Oeste - SP","SP"
"Euclides da Cunha Paulista - SP","SP"
"Fartura - SP","SP"
"Fernando Prestes - SP","SP"
"Fernandópolis - SP","SP"
"Fernão - SP","SP"
"Ferraz de Vasconcelos - SP","SP"
"Flora Rica - SP","SP"
"Floreal - SP","SP"
"Flórida Paulista - SP","SP"
"Florínia - SP","SP"
"Franca - SP","SP"
"Francisco Morato - SP","SP"
"Franco da Rocha - SP","SP"
"Gabriel Monteiro - SP","SP"
"Gália - SP","SP"
"Garça - SP","SP"
"Gastão Vidigal - SP","SP"
"Gavião Peixoto - SP","SP"
"General Salgado - SP","SP"
"Getulina - SP","SP"
"Glicério - SP","SP"
"Guaiçara - SP","SP"
"Guaimbê - SP","SP"
"Guaíra - SP","SP"
"Guapiaçu - SP","SP"
"Guapiara - SP","SP"
"Guará - SP","SP"
"Guaraçaí - SP","SP"
"Guaraci - SP","SP"
"Guarani d'Oeste - SP","SP"
"Guarantã - SP","SP"
"Guararapes - SP","SP"
"Guararema - SP","SP"
"Guaratinguetá - SP","SP"
"Guareí - SP","SP"
"Guariba - SP","SP"
"Guarujá - SP","SP"
"Guarulhos - SP","SP"
"Guatapará - SP","SP"
"Guzolândia - SP","SP"
"Herculândia - SP","SP"
"Holambra - SP","SP"
"Hortolândia - SP","SP"
"Iacanga - SP","SP"
"Iacri - SP","SP"
"Iaras - SP","SP"
"Ibaté - SP","SP"
"Ibirá - SP","SP"
"Ibirarema - SP","SP"
"Ibitinga - SP","SP"
"Ibitiúva - SP","SP"
"Ibiúna - SP","SP"
"Icém - SP","SP"
"Iepê - SP","SP"
"Igaraçu do Tietê - SP","SP"
"Igarapava - SP","SP"
"Igaratá - SP","SP"
"Iguape - SP","SP"
"Ilha Comprida - SP","SP"
"Ilha Solteira - SP","SP"
"Ilhabela - SP","SP"
"Indaiatuba - SP","SP"
"Indiana - SP","SP"
"Indiaporã - SP","SP"
"Inúbia Paulista - SP","SP"
"Ipaussu - SP","SP"
"Iperó - SP","SP"
"Ipeúna - SP","SP"
"Ipiguá - SP","SP"
"Iporanga - SP","SP"
"Ipuã - SP","SP"
"Iracemápolis - SP","SP"
"Irapuã - SP","SP"
"Irapuru - SP","SP"
"Itaberá - SP","SP"
"Itaí - SP","SP"
"Itajobi - SP","SP"
"Itaju - SP","SP"
"Itanhaém - SP","SP"
"Itaóca - SP","SP"
"Itapecerica da Serra - SP","SP"
"Itapetininga - SP","SP"
"Itapeva - SP","SP"
"Itapevi - SP","SP"
"Itapira - SP","SP"
"Itapirapuã Paulista - SP","SP"
"Itápolis - SP","SP"
"Itaporanga - SP","SP"
"Itapuí - SP","SP"
"Itapura - SP","SP"
"Itaquaquecetuba - SP","SP"
"Itararé - SP","SP"
"Itariri - SP","SP"
"Itatiba - SP","SP"
"Itatinga - SP","SP"
"Itirapina - SP","SP"
"Itirapuã - SP","SP"
"Itobi - SP","SP"
"Itu - SP","SP"
"Itupeva - SP","SP"
"Ituverava - SP","SP"
"Jaborandi - SP","SP"
"Jaboticabal - SP","SP"
"Jacareí - SP","SP"
"Jaci - SP","SP"
"Jacupiranga - SP","SP"
"Jaguariúna - SP","SP"
"Jales - SP","SP"
"Jambeiro - SP","SP"
"Jandira - SP","SP"
"Jardinópolis - SP","SP"
"Jarinu - SP","SP"
"Jaú - SP","SP"
"Jeriquara - SP","SP"
"Joanópolis - SP","SP"
"João Ramalho - SP","SP"
"José Bonifácio - SP","SP"
"Júlio Mesquita - SP","SP"
"Jumirim - SP","SP"
"Jundiaí - SP","SP"
"Junqueirópolis - SP","SP"
"Juquiá - SP","SP"
"Juquitiba - SP","SP"
"Lagoinha - SP","SP"
"Laranjal Paulista - SP","SP"
"Lavínia - SP","SP"
"Lavrinhas - SP","SP"
"Leme - SP","SP"
"Lençóis Paulista - SP","SP"
"Limeira - SP","SP"
"Lindóia - SP","SP"
"Lins - SP","SP"
"Lorena - SP","SP"
"Lourdes - SP","SP"
"Louveira - SP","SP"
"Lucélia - SP","SP"
"Lucianópolis - SP","SP"
"Luís Antônio - SP","SP"
"Luiziânia - SP","SP"
"Lupércio - SP","SP"
"Lutécia - SP","SP"
"Macatuba - SP","SP"
"Macaubal - SP","SP"
"Macedônia - SP","SP"
"Magda - SP","SP"
"Mairinque - SP","SP"
"Mairiporã - SP","SP"
"Manduri - SP","SP"
"Marabá Paulista - SP","SP"
"Maracaí - SP","SP"
"Marapoama - SP","SP"
"Mariápolis - SP","SP"
"Marília - SP","SP"
"Marinópolis - SP","SP"
"Martinópolis - SP","SP"
"Matão - SP","SP"
"Mauá - SP","SP"
"Mendonça - SP","SP"
"Meridiano - SP","SP"
"Mesópolis - SP","SP"
"Miguelópolis - SP","SP"
"Mineiros do Tietê - SP","SP"
"Mira Estrela - SP","SP"
"Miracatu - SP","SP"
"Mirandópolis - SP","SP"
"Mirante do Paranapanema - SP","SP"
"Mirassol - SP","SP"
"Mirassolândia - SP","SP"
"Mococa - SP","SP"
"Mogi das Cruzes - SP","SP"
"Mogi Guaçu - SP","SP"
"Mogi-Mirim - SP","SP"
"Mombuca - SP","SP"
"Monções - SP","SP"
"Mongaguá - SP","SP"
"Monte Alegre do Sul - SP","SP"
"Monte Alto - SP","SP"
"Monte Aprazível - SP","SP"
"Monte Azul Paulista - SP","SP"
"Monte Castelo - SP","SP"
"Monte Mor - SP","SP"
"Monteiro Lobato - SP","SP"
"Morro Agudo - SP","SP"
"Morungaba - SP","SP"
"Motuca - SP","SP"
"Murutinga do Sul - SP","SP"
"Nantes - SP","SP"
"Narandiba - SP","SP"
"Natividade da Serra - SP","SP"
"Nazaré Paulista - SP","SP"
"Neves Paulista - SP","SP"
"Nhandeara - SP","SP"
"Nipoã - SP","SP"
"Nova Aliança - SP","SP"
"Nova Campina - SP","SP"
"Nova Canaã Paulista - SP","SP"
"Nova Castilho - SP","SP"
"Nova Europa - SP","SP"
"Nova Granada - SP","SP"
"Nova Guataporanga - SP","SP"
"Nova Independência - SP","SP"
"Nova Luzitânia - SP","SP"
"Nova Odessa - SP","SP"
"Novais - SP","SP"
"Novo Horizonte - SP","SP"
"Nuporanga - SP","SP"
"Ocauçu - SP","SP"
"Óleo - SP","SP"
"Olímpia - SP","SP"
"Onda Verde - SP","SP"
"Oriente - SP","SP"
"Orindiúva - SP","SP"
"Orlândia - SP","SP"
"Osasco - SP","SP"
"Oscar Bressane - SP","SP"
"Osvaldo Cruz - SP","SP"
"Ourinhos - SP","SP"
"Ouro Verde - SP","SP"
"Ouroeste - SP","SP"
"Pacaembu - SP","SP"
"Palestina - SP","SP"
"Palmares Paulista - SP","SP"
"Palmeira d'Oeste - SP","SP"
"Palmital - SP","SP"
"Panorama - SP","SP"
"Paraguaçu Paulista - SP","SP"
"Paraibuna - SP","SP"
"Paraíso - SP","SP"
"Paranapanema - SP","SP"
"Paranapuã - SP","SP"
"Parapuã - SP","SP"
"Pardinho - SP","SP"
"Pariquera-Açu - SP","SP"
"Parisi - SP","SP"
"Patrocínio Paulista - SP","SP"
"Paulicéia - SP","SP"
"Paulínia - SP","SP"
"Paulistânia - SP","SP"
"Paulo de Faria - SP","SP"
"Pederneiras - SP","SP"
"Pedra Bela - SP","SP"
"Pedranópolis - SP","SP"
"Pedregulho - SP","SP"
"Pedreira - SP","SP"
"Pedrinhas Paulista - SP","SP"
"Pedro de Toledo - SP","SP"
"Penápolis - SP","SP"
"Pereira Barreto - SP","SP"
"Pereiras - SP","SP"
"Peruíbe - SP","SP"
"Piacatu - SP","SP"
"Piedade - SP","SP"
"Pilar do Sul - SP","SP"
"Pindamonhangaba - SP","SP"
"Pindorama - SP","SP"
"Pinhalzinho - SP","SP"
"Piquerobi - SP","SP"
"Piquete - SP","SP"
"Piracaia - SP","SP"
"Piracicaba - SP","SP"
"Piraju - SP","SP"
"Pirajuí - SP","SP"
"Pirangi - SP","SP"
"Pirapora do Bom Jesus - SP","SP"
"Pirapozinho - SP","SP"
"Pirassununga - SP","SP"
"Piratininga - SP","SP"
"Pitangueiras - SP","SP"
"Planalto - SP","SP"
"Platina - SP","SP"
"Poá - SP","SP"
"Poloni - SP","SP"
"Pompéia - SP","SP"
"Pongaí - SP","SP"
"Pontal - SP","SP"
"Pontalinda - SP","SP"
"Pontes Gestal - SP","SP"
"Populina - SP","SP"
"Porangaba - SP","SP"
"Porto Feliz - SP","SP"
"Porto Ferreira - SP","SP"
"Potim - SP","SP"
"Potirendaba - SP","SP"
"Pracinha - SP","SP"
"Pradópolis - SP","SP"
"Praia Grande - SP","SP"
"Pratânia - SP","SP"
"Presidente Alves - SP","SP"
"Presidente Bernardes - SP","SP"
"Presidente Epitácio - SP","SP"
"Presidente Prudente - SP","SP"
"Presidente Venceslau - SP","SP"
"Promissão - SP","SP"
"Quadra - SP","SP"
"Quatá - SP","SP"
"Queiroz - SP","SP"
"Queluz - SP","SP"
"Quintana - SP","SP"
"Rafard - SP","SP"
"Rancharia - SP","SP"
"Redenção da Serra - SP","SP"
"Regente Feijó - SP","SP"
"Reginópolis - SP","SP"
"Registro - SP","SP"
"Restinga - SP","SP"
"Ribeira - SP","SP"
